date;Time (UTC);Latitude;Longitude;Region Name;Depth;Mw;Strike1;Dip1;Rake1;Strike2;Dip2;Rake2;Mo;DC;VR;Computed by;Method
20240127;05:19:19;37.97;27.14;x;11;5.0;96;41;-95;283;48;-85;4.31E+16;71;0.94;Yavuz Gunes;SC3
20240125;13:04:06;38.15;38.43;x;10;5.0;215;20;-25;329;81;-108;4.07E+16;95;0.88;Yavuz Gunes;SC3
20240119;22:27:35;38.83;37.47;x;10;4.Şub;277;70;14;182;76;159;2.54E+15;77;0.74;Yavuz Gunes;SC3
20240108;13:19:12;38.31;38.77;x;10;4.Mar;318;75;166;51;76;14;3.22E+15;99;0.73;Yavuz Gunes;SC3
20231231;17:06:04;37.34;44.10;x;10;4.Haz;134;85;-133;39;43;-6;1.14E+16;66;0.81;Yavuz Gunes;SC3
20231231;16:37:55;37.38;44.00;x;10;4.Nis;312;55;179;43;89;34;5.43E+15;47;0.81;Yavuz Gunes;SC3
20231227;13:04:12;41.05;33.81;x;10;4.May;116;88;170;206;80;1;7.50E+15;62;0.85;Yavuz Gunes;SC3
20231217;20:53:52;40.73;29.Eyl;x;14;4.0;179;73;-73;312;23;-134;8.72E+14;97;0.81;Yavuz Gunes;SC3
20231204;07:42:20;40.40;28.85;x;6;5.0;273;54;-119;136;45;-56;3.47E+16;14;0.93;Dogan Kalafat;ISOLA
20231201;00:18:50;38.40;37.48;x;10;4.Haz;186;53;-107;34;40;-68;9.47E+15;25;0.92;Yavuz Gunes;SC3
20231123;14:46:08;38.14;38.56;x;10;5.Şub;141;75;-171;49;81;-14;7.90E+16;94;0.95;Yavuz Gunes;SC3
20231120;07:36:05;38.23;38.76;x;10;4.May;315;74;177;45;87;15;7.97E+15;28;0.75;Yavuz Gunes;SC3
20231113;05:28:28;37.72;29.93;x;10;4.Şub;26;54;-125;256;48;-50;2.84E+15;84;0.85;Yavuz Gunes;SC3
20231109;02:32:13;36.62;36.67;x;14;4.Haz;198;54;-51;324;50;-131;1.08E+16;62;0.94;Yavuz Gunes;SC3
20231108;12:39:42;37.08;30.23;x;102;4.Nis;59;56;48;297;51;135;4.77E+15;85;0.81;Yavuz Gunes;SC3
20231107;20:05:48;40.47;27.55;x;15;3.Eyl;106;83;-176;15;86;-6;8.97E+14;57;0.85;Yavuz Gunes;SC3
20231018;12:55:24;38.20;27.69;x;10;4.Şub;93;42;-88;272;48;-90;2.55E+15;75;0.85;Yavuz Gunes;SC3
20231014;14:07:09;40.87;31.74;x;10;4.Nis;279;73;-174;187;84;-16;5.18E+15;50;0.90;Yavuz Gunes;SC3
20231012;11:04:02;38.88;43.58;x;14;4.May;295;74;166;29;76;15;8.08E+15;62;0.82;Yavuz Gunes;SC3
20230923;08:22:22;37.94;36.41;x;10;4.May;54;53;-88;231;36;-92;6.33E+15;66;0.88;Yavuz Gunes;SC3
20230904;05:26:08;37.97;27.13;x;12;4.Mar;319;72;-22;56;68;-160;3.67E+15;86;0.78;Yavuz Gunes;SC3
20230829;04:58:15;38.90;32.96;x;13;4.Ağu;298;88;175;28;85;1;1.74E+16;76;0.87;Yavuz Gunes;SC3
20230824;05:35:24;38.27;38.19;x;10;4.Ağu;343;79;-171;251;81;-10;1.65E+16;80;0.90;Yavuz Gunes;SC3
20230822;10:17:34;38.43;36.70;x;14;4.Tem;273;76;140;14;51;17;1.50E+16;84;0.82;Yavuz Gunes;SC3
20230816;14:36:59;37.66;35.40;x;10;4.May;194;51;-124;62;49;-54;6.16E+15;65;0.70;Yavuz Gunes;SC3
20230812;13:39:16;38.31;38.21;x;10;4.Haz;342;83;-159;250;69;-7;8.46E+15;94;0.82;Yavuz Gunes;SC3
20230810;17:48:01;38.30;38.22;x;10;5.Şub;339;67;-142;233;55;-27;8.23E+16;85;0.93;Yavuz Gunes;SC3
20230810;13:16:04;35.70;31.40;x;24;4.Haz;104;74;82;311;16;115;9.34E+15;70;0.84;Yavuz Gunes;SC3
20230801;15:06:51;38.13;32.64;x;10;4.Eyl;190;47;-86;5;42;-93;3.14E+16;88;0.94;Yavuz Gunes;SC3
20230725;05:44:48;37.60;35.91;x;10;5.Nis;161;76;177;251;88;14;1.52E+17;88;0.94;Yavuz Gunes;SC3
20230618;15:36:28;38.21;38.61;x;10;4.May;94;13;-82;264;78;-91;8.14E+15;86;0.73;Yavuz Gunes;SC3
20230605;16:40:48;38.00;36.57;x;10;4.Mar;27;84;-106;280;17;-18;3.71E+15;67;0.77;Yavuz Gunes;SC3
20230521;12:46:12;37.91;36.25;x;10;4.Eyl;233;59;-76;18;33;-111;3.00E+16;81;0.86;Yavuz Gunes;SC3
20230518;18:58:51;34.98;24.84;x;10;4.Eyl;92;43;-87;269;46;-92;3.25E+16;92;0.94;Yavuz Gunes;SC3
20230512;08:33:20;37.87;36.27;x;7;4.Nis;20;40;-110;226;53;-74;5.35E+15;98;0.63;Remzi Polat;ISOLA
20230508;20:20:34;38.11;38.35;x;10;4.May;333;86;157;64;67;4;5.93E+15;93;0.83;Yavuz Gunes;SC3
20230507;08:36:10;36.44;36.29;x;10;5.0;176;59;-173;82;84;-30;4.32E+16;87;0.94;Yavuz Gunes;SC3
20230503;17:16:38;38.08;36.58;x;10;4.Ağu;178;51;-129;51;53;-51;1.93E+16;75;0.93;Yavuz Gunes;SC3
20230429;01:55:47;38.02;36.45;x;10;4.Haz;349;86;-166;258;76;-3;9.75E+15;64;0.97;Yavuz Gunes;SC3
20230426;20:00:36;36.35;26.36;x;115;5.Oca;332;64;-159;233;71;-27;5.42E+16;99;0.93;Yavuz Gunes;SC3
20230426;15:31:05;37.95;36.43;x;10;4.Mar;347;76;-168;254;78;-14;3.85E+15;89;0.86;Yavuz Gunes;SC3
20230419;22:44:07;38.46;39.19;x;10;4.May;335;69;167;69;77;20;7.65E+15;99;0.69;Yavuz Gunes;SC3
20230407;08:29:36;39.03;40.43;x;10;4.May;317;82;-176;227;86;-7;6.10E+15;59;0.94;Yavuz Gunes;SC3
20230329;16:47:01;37.96;36.29;x;10;4.May;233;59;-41;347;54;-142;7.26E+15;71;0.94;Yavuz Gunes;SC3
20230327;14:35:16;38.05;36.54;x;10;4.Nis;144;80;-159;21;70;-9;5.05E+15;98;0.72;Yavuz Gunes;SC3
20230324;03:17:02;38.40;44.85;x;14;5.May;53;47;79;249;43;101;2.27E+17;66;0.94;Yavuz Gunes;SC3
20230324;00:39:53;38.02;36.40;x;10;4.Nis;256;50;-38;13;61;-133;4.80E+15;84;0.85;Yavuz Gunes;SC3
20230323;09:19:53;38.02;36.45;x;10;5.Şub;7;66;-145;261;58;-28;6.70E+16;84;0.87;Yavuz Gunes;SC3
20230322;19:43:24;38.18;38.07;x;10;4.Mar;164;86;160;255;70;3;3.43E+15;99;0.92;Yavuz Gunes;SC3
20230318;05:14:29;38.01;36.45;x;10;4.Nis;213;43;-81;22;47;-97;4.41E+15;100;0.89;Yavuz Gunes;SC3
20230316;19:59:13;36.36;34.37;x;10;4.Nis;285;77;-6;16;83;-167;4.62E+15;80;0.82;Yavuz Gunes;SC3
20230316;10:55:05;40.80;31.55;x;10;4.Tem;299;77;-170;206;80;-12;1.18E+16;50;0.92;Yavuz Gunes;SC3
20230314;14:49:48;37.84;37.37;x;10;4.Tem;295;75;-3;26;86;-165;1.33E+16;82;0.93;Yavuz Gunes;SC3
20230314;06:47:34;38.11;36.95;x;10;4.Tem;131;76;171;223;81;13;1.43E+16;89;0.81;Yavuz Gunes;SC3
20230313;02:13:53;38.14;38.68;x;12;4.Nis;139;80;158;233;68;10;5.46E+15;97;0.91;Yavuz Gunes;SC3
20230313;01:34:30;38.12;38.69;x;10;4.Tem;315;89;-178;225;88;0;1.24E+16;99;0.91;Yavuz Gunes;SC3
20230310;02:28:13;38.71;35.29;x;10;4.Ağu;306;83;168;38;78;6;2.16E+16;69;0.92;Yavuz Gunes;SC3
20230309;18:55:28;38.05;35.42;x;10;4.Mar;351;86;179;81;89;3;3.47E+15;59;0.87;Yavuz Gunes;SC3
20230307;11:47:28;37.71;35.29;x;12;4.Tem;325;69;-168;231;79;-20;1.33E+16;93;0.74;Yavuz Gunes;SC3
20230307;09:40:12;37.71;36.57;x;10;4.Tem;293;78;-170;201;80;-11;1.42E+16;90;0.80;Yavuz Gunes;SC3
20230305;20:49:45;36.75;36.13;x;10;4.Ağu;307;68;-173;215;84;-21;2.23E+16;88;0.81;Yavuz Gunes;SC3
20230303;02:53:43;37.85;36.65;x;10;4.Ağu;45;38;-106;246;53;-77;2.28E+16;88;0.88;Yavuz Gunes;SC3
20230301;07:20:23;36.32;36.07;x;13;4.Tem;62;50;-97;255;40;-80;1.45E+16;84;0.78;Yavuz Gunes;SC3
20230227;09:04:50;38.25;38.29;x;16;5.Şub;356;81;177;87;87;8;9.18E+16;61;0.95;Yavuz Gunes;SC3
20230227;02:51:21;37.90;37.61;x;10;4.Ağu;183;60;97;348;30;76;1.71E+16;96;0.89;Yavuz Gunes;SC3
20230225;10:27:11;38.00;34.01;x;10;5.Şub;356;86;157;87;67;3;7.43E+16;60;0.81;Yavuz Gunes;SC3
20230223;15:53:46;36.11;36.10;x;10;4.Eyl;200;37;-97;30;52;-81;2.81E+16;79;0.93;Yavuz Gunes;SC3
20230220;17:04:28;36.10;36.13;x;16;6.Mar;330;68;-143;225;56;-25;3.63E+18;59;0.90;Yavuz Gunes;SC3
20230218;19:31:32;38.08;36.64;x;15;4.Eyl;321;77;168;53;78;12;2.46E+16;96;0.83;Yavuz Gunes;SC3
20230209;07:18:17;37.05;36.68;x;10;4.Ağu;141;37;-74;302;53;-101;1.68E+16;68;0.86;Yavuz Gunes;SC3
20230208;11:11:54;38.02;37.68;x;13;5.Nis;298;80;2;208;87;170;1.42E+17;82;0.95;Yavuz Gunes;SC3
20230207;10:18:13;38.13;38.51;x;10;5.Mar;327;50;169;64;82;40;1.10E+17;96;0.89;Yavuz Gunes;SC3
20230207;07:11:16;38.15;38.69;x;15;5.Nis;330;84;179;60;89;5;1.37E+17;45;0.92;Yavuz Gunes;SC3
20230207;03:13:14;37.79;37.66;x;19;5.Nis;107;77;173;198;83;12;1.84E+17;70;0.96;Yavuz Gunes;SC3
20230206;20:37:53;37.26;37.07;x;11;5.Mar;176;42;-82;346;47;-96;1.02E+17;62;0.89;Yavuz Gunes;SC3
20230206;15:33:34;38.26;38.13;x;10;5.Nis;329;87;150;61;60;2;1.44E+17;60;0.84;Yavuz Gunes;SC3
20230206;12:02:13;38.07;36.47;x;10;6.0;306;88;-174;216;84;-1;1.46E+18;68;0.88;Yavuz Gunes;SC3
20230206;10:24:48;38.05;37.26;x;10;7.Haz;273;67;-9;6;81;-157;2.73E+20;67;0.88;Yavuz Gunes;SC3
20230206;01:17:35;37.13;37.13;x;10;7.Tem;324;65;-152;222;64;-27;3.78E+20;67;0.81;Yavuz Gunes;SC3
20230128;18:14:46;38.56;45.00;x;14;5.Eyl;125;86;-166;34;76;-4;8.89E+17;94;0.96;Yavuz Gunes;SC3
20230125;12:37:06;35.80;28.53;x;28;5.Ağu;338;75;178;68;88;14;6.60E+17;83;0.91;Yavuz Gunes;SC3
20230119;02:22:27;39.50;25.86;x;18;4.Mar;323;66;-36;70;56;-151;3.62E+15;61;0.82;Yavuz Gunes;SC3
20230118;10:08:15;38.50;45.02;x;10;5.Tem;116;78;-150;20;61;-13;4.16E+17;65;0.84;Yavuz Gunes;SC3
20230115;03:36:27;38.41;39.14;x;10;4.Tem;332;87;-145;230;55;-3;1.26E+16;68;0.83;Yavuz Gunes;SC3
20230113;03:31:33;34.56;25.27;x;61;4.Tem;84;46;50;314;56;123;1.36E+16;90;0.92;Yavuz Gunes;SC3
20230110;07:38:30;39.36;26.24;x;15;5.0;147;83;-1;237;88;-173;3.52E+16;93;0.84;Yavuz Gunes;SC3
20230107;06:39:29;39.37;26.25;x;13;4.Haz;319;82;0;49;89;-172;9.88E+15;57;0.89;Yavuz Gunes;SC3
20230107;01:52:57;39.37;26.27;x;14;4.Eyl;330;76;-8;62;81;-166;2.84E+16;61;0.94;Yavuz Gunes;SC3
20221218;18:13:10;36.39;36.43;x;29;4.Ağu;114;83;157;207;67;7;1.75E+16;71;0.93;Yavuz Gunes;SC3
20221213;03:21:17;40.36;27.Kas;x;10;4.Oca;176;85;-9;267;80;-175;1.55E+15;78;0.85;Yavuz Gunes;SC3
20221123;01:08:14;40.83;31.00;x;10;6.0;167;88;-16;257;73;-178;1.39E+18;79;0.92;Yavuz Gunes;SC3
20221120;23:25:02;35.83;26.43;x;72;5.Nis;144;71;29;43;62;158;1.62E+17;91;0.95;Yavuz Gunes;SC3
20221104;00:29:21;38.35;27.19;x;15;4.Ağu;343;88;-29;74;60;-178;2.12E+16;70;0.83;Yavuz Gunes;SC3
20221102;17:41:18;35.92;30.88;x;49;5.0;347;37;169;85;83;52;3.59E+16;64;0.78;Yavuz Gunes;SC3
20221020;11:34:58;37.38;37.24;x;10;4.Mar;141;84;-171;51;81;-5;3.19E+15;82;0.87;Yavuz Gunes;SC3
20221018;10:27:24;37.91;27.19;x;6;4.Mar;299;39;-69;93;54;-106;3.50E+15;78;0.61;Remzi Polat;ISOLA
20221011;15:48:46;37.30;36.31;x;15;5.0;197;45;-69;348;47;-110;3.50E+16;82;0.90;Yavuz Gunes;SC3
20221005;00:21:27;38.47;45.26;x;10;5.Haz;296;70;158;33;69;20;3.14E+17;91;0.94;Yavuz Gunes;SC3
20221002;10:58:03;37.04;28.90;x;10;4.Tem;74;38;-80;242;52;-97;1.27E+16;94;0.91;Yavuz Gunes;SC3
20221002;04:04:05;34.35;26.17;x;10;5.Mar;83;62;85;273;27;99;9.75E+16;95;0.95;Yavuz Gunes;SC3
20220929;21:49:03;39.62;40.56;x;10;4.Nis;311;78;169;43;79;11;5.60E+15;66;0.85;Yavuz Gunes;SC3
20220927;14:08:31;40.82;42.82;x;10;5.Şub;156;88;175;247;85;1;9.17E+16;93;0.90;Yavuz Gunes;SC3
20220916;20:30:36;39.40;40.66;x;15;4.Ağu;289;55;-167;192;79;-35;2.05E+16;98;0.85;Yavuz Gunes;SC3
20220903;04:13:09;34.84;26.44;x;12;5.Mar;352;84;169;83;79;5;1.13E+17;26;0.92;Yavuz Gunes;SC3
20220831;09:56:39;37.56;26.78;x;10;4.Tem;70;43;-115;284;51;-67;1.63E+16;69;0.81;Yavuz Gunes;SC3
20220831;14:02:18;37.57;26.84;x;10;4.Haz;48;46;-136;286;60;-52;1.17E+16;13;0.96;Yavuz Gunes;SC3
20220831;10:10:11;37.58;26.79;x;10;5.Nis;102;36;-82;273;53;-95;1.41E+17;87;0.94;Yavuz Gunes;SC3
20220814;03:24:22;37.97;27.17;x;11;4.Ağu;75;44;-119;293;52;-64;1.85E+16;78;0.89;Yavuz Gunes;SC3
20220807;08:02:02;36.12;29.63;x;45;4.Nis;166;30;-87;343;59;-91;5.45E+15;100;0.74;Yavuz Gunes;SC3
20220803;10:05:29;36.16;30.93;x;80;4.Şub;108;80;9;16;80;170;2.74E+15;91;0.79;Yavuz Gunes;SC3
20220726;06:11:00;37.45;36.99;x;5;4.Mar;301;71;174;32;85;19;3.87E+15;73;0.79;Remzi Polat;ISOLA
20220721;15:44:23;40.16;27.41;x;12;4.Mar;271;78;-171;179;81;-11;3.60E+15;67;0.80;Yavuz Gunes;SC3
20220720;19:49:39;40.82;31.35;x;18;4.Şub;287;73;167;21;77;18;2.16E+15;96;0.60;Remzi Polat;ISOLA
20220717;11:55:39;39.27;27.69;x;10;4.Şub;158;89;2;68;87;179;2.46E+15;97;0.77;Yavuz Gunes;SC3
20220629;19:04:34;39.07;37.77;x;14;4.Nis;319;83;178;49;88;6;4.95E+15;61;0.85;Yavuz Gunes;SC3
20220619;23:24:33;35.30;27.16;x;40;4.Eyl;92;42;-59;234;54;-115;2.51E+16;94;0.76;Yavuz Gunes;SC3
20220612;18:35:20;38.75;43.67;x;10;5.Oca;284;74;171;16;82;15;6.28E+16;88;0.89;Yavuz Gunes;SC3
20220611;02:05:52;36.00;31.35;x;77;4.Mar;192;71;61;72;33;145;3.48E+15;63;0.86;Yavuz Gunes;SC3
20220610;06:02:26;38.77;43.66;x;10;4.Haz;107;70;170;200;80;19;9.77E+15;94;0.87;Yavuz Gunes;SC3
20220610;01:40:20;34.81;33.91;x;30;5.0;172;64;93;344;26;82;4.19E+16;86;0.81;Yavuz Gunes;SC3
20220603;22:58:58;39.82;27.95;x;15;4.Nis;133;67;-12;228;78;-157;4.58E+15;96;0.89;Yavuz Gunes;SC3
20220603;16:05:11;36.03;27.58;x;23;4.Mar;137;63;-133;22;49;-35;3.72E+15;97;0.85;Yavuz Gunes;SC3
20220531;15:45:43;38.97;29.72;x;4;4.Şub;301;46;-69;92;48;-110;2.42E+15;76;0.74;Remzi Polat;ISOLA
20220513;22:08:49;38.20;26.20;x;15;4.Mar;139;80;-6;230;83;-170;3.64E+15;76;0.87;Yavuz Gunes;SC3
20220426;19:11:35;34.57;32.44;x;25;4.May;94;66;92;267;23;83;6.28E+15;91;0.84;Yavuz Gunes;SC3
20220424;04:14:05;35.16;27.Mar;x;19;4.Nis;234;43;-32;348;68;-128;4.61E+15;97;0.91;Yavuz Gunes;SC3
20220413;19:35:48;34.65;24.68;x;46;4.Tem;189;63;-107;43;31;-59;1.32E+16;50;0.74;Yavuz Gunes;SC3
20220411;17:38:41;42.33;31.Mar;x;30;4.Nis;217;38;109;13;53;75;5.62E+15;83;0.70;Yavuz Gunes;SC3
20220409;14:02:15;38.10;38.63;x;10;5.Şub;339;71;-169;245;79;-18;7.30E+16;100;0.84;Yavuz Gunes;SC3
20220314;12:38:19;38.09;38.36;x;10;4.Şub;160;79;-163;67;74;-11;2.45E+15;91;0.79;Yavuz Gunes;SC3
20220220;20:20:11;40.73;27.41;x;12;4.0;89;74;149;188;61;17;1.41E+15;81;0.90;Yavuz Gunes;SC3
20220213;18:25:55;41.15;43.98;x;25;5.Mar;314;89;174;44;84;0;1.24E+17;93;0.91;Yavuz Gunes;SC3
20220211;16:18:07;36.96;27.66;x;4;4.Oca;286;52;-75;82;41;-109;1.90E+15;100;0.81;Remzi Polat;ISOLA
20220206;12:07:52;40.46;29.00;x;9;3.Ağu;279;80;-132;178;43;-15;5.32E+14;66;0.74;Remzi Polat;ISOLA
20220202;21:03:51;35.01;31.83;x;38;5.Mar;110;68;86;299;22;98;1.03E+17;48;0.84;Yavuz Gunes;SC3
20220131;00:49:53;39.08;40.04;x;20;4.Haz;140;71;-178;49;88;-18;1.10E+16;57;0.90;Yavuz Gunes;SC3
20220122;19:31:43;39.58;28.82;x;12;4.Tem;174;72;2;83;87;162;1.18E+16;97;0.83;Yavuz Gunes;SC3
20220117;23:28:55;39.60;35.94;x;19;4.Eyl;329;83;-178;238;88;-6;3.16E+16;26;0.93;Yavuz Gunes;SC3
20220116;11:48:07;40.01;24.34;x;10;5.Nis;126;56;-51;251;49;-132;1.60E+17;15;0.88;Yavuz Gunes;SC3
